EmployeeID,Age,Department,JobRole,EducationField,JobLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,TrainingTimesLastYear,PercentSalaryHike,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,MonthlyIncome,DistanceFromHome,Gender,MaritalStatus,OverTime,NumCompaniesWorked,Attrition
1015,41,Sales,Manager,Other,4,19,3,1,0,1,3,23,3,1,3,3,9547,23,Female,Married,No,1,0
1016,20,Research & Development,Research Scientist,Life Sciences,2,0,1,1,0,0,0,17,3,2,3,3,5175,23,Female,Single,No,7,0
1017,39,Sales,Manager,Technical Degree,3,7,4,0,3,0,2,12,3,1,4,3,6289,20,Male,Married,No,7,1
1018,19,Research & Development,Research Scientist,Technical Degree,1,0,0,0,0,0,3,14,3,4,3,3,1825,28,Male,Married,Yes,4,0
1019,41,Sales,Sales Representative,Human Resources,3,14,8,8,1,5,3,25,3,3,2,2,9242,28,Female,Divorced,No,2,0
1020,47,Research & Development,Research Director,Marketing,3,20,8,3,2,2,1,11,3,2,3,3,9491,8,Male,Single,Yes,7,1
1021,55,Sales,Sales Representative,Technical Degree,1,25,23,20,15,20,4,15,3,4,1,1,3888,3,Male,Married,No,4,0
1022,19,Sales,Sales Representative,Life Sciences,2,2,2,1,2,1,3,11,3,4,4,3,4206,25,Female,Married,No,2,1
1023,38,Research & Development,Manager,Marketing,1,14,9,9,4,6,3,14,3,4,2,3,3568,21,Female,Single,No,8,0
1024,50,Sales,Sales Representative,Medical,5,27,15,12,10,5,2,23,4,3,2,4,11215,29,Male,Married,No,8,0
1025,29,Research & Development,Research Scientist,Technical Degree,2,12,10,7,1,3,3,19,3,3,4,4,5987,15,Male,Single,No,6,0
1026,39,Research & Development,Laboratory Technician,Marketing,5,13,10,1,3,1,0,23,4,2,4,3,13808,2,Male,Single,No,7,0
1027,42,Research & Development,Research Scientist,Life Sciences,1,18,3,2,0,2,1,22,3,2,4,3,3499,25,Male,Single,No,4,0
1028,44,Research & Development,Manager,Human Resources,3,15,15,14,3,12,4,18,4,2,3,2,9870,17,Male,Married,No,4,0
1029,59,Research & Development,Research Director,Other,3,20,0,0,0,0,3,16,3,3,4,3,10318,27,Female,Divorced,No,4,0
1030,45,Sales,Sales Executive,Other,3,19,15,11,15,5,3,25,3,4,4,1,10337,24,Female,Single,No,1,0
1031,33,Research & Development,Research Director,Life Sciences,5,10,2,2,2,2,2,18,3,1,3,2,16674,6,Male,Divorced,No,2,1
1032,32,Sales,Manager,Life Sciences,2,7,7,0,6,0,3,15,3,2,4,3,6092,28,Female,Married,No,7,0
1033,20,Research & Development,Research Scientist,Other,1,2,2,1,1,1,1,17,3,2,2,2,3286,1,Male,Married,No,5,0
1034,54,Sales,Sales Executive,Human Resources,3,29,25,13,11,6,3,18,3,4,4,1,10770,4,Male,Married,No,8,0
1035,24,Human Resources,Human Resources,Marketing,3,1,1,1,0,1,3,17,3,3,3,4,8516,19,Male,Divorced,No,6,0
1036,38,Research & Development,Manufacturing Director,Other,2,6,6,3,1,3,3,24,3,3,3,2,4281,7,Male,Married,No,5,1
1037,26,Sales,Sales Executive,Life Sciences,1,1,0,0,0,0,6,14,4,1,1,1,1934,23,Male,Divorced,Yes,3,1
1038,56,Research & Development,Manufacturing Director,Technical Degree,2,21,0,0,0,0,3,15,3,3,3,1,7547,22,Female,Divorced,No,6,0
1039,35,Sales,Sales Representative,Medical,1,10,9,3,7,1,3,23,3,1,3,2,3138,14,Female,Single,No,3,1
1040,21,Research & Development,Healthcare Representative,Human Resources,2,0,1,0,1,0,3,24,3,3,4,2,5881,26,Female,Divorced,No,6,0
1041,42,Sales,Sales Representative,Human Resources,2,18,8,5,5,2,2,20,3,1,4,3,5881,14,Male,Divorced,No,4,0
1042,31,Research & Development,Manufacturing Director,Technical Degree,3,5,3,1,1,1,5,16,3,4,4,2,7422,10,Male,Single,No,1,0
1043,26,Research & Development,Research Director,Technical Degree,1,4,2,1,2,1,3,24,3,3,2,4,3063,28,Female,Divorced,No,6,0
1044,43,Sales,Manager,Life Sciences,2,9,5,0,0,0,2,24,3,4,4,2,6878,24,Male,Married,Yes,7,0
1045,19,Research & Development,Research Scientist,Other,1,3,3,1,0,0,4,22,4,3,3,3,2185,7,Female,Divorced,No,9,0
1046,37,Research & Development,Manager,Marketing,1,13,9,8,2,8,0,21,3,3,4,3,3771,16,Female,Divorced,Yes,1,1
1047,45,Research & Development,Healthcare Representative,Human Resources,3,16,16,3,15,3,6,16,3,1,2,3,9832,4,Female,Divorced,Yes,5,0
1048,24,Research & Development,Manufacturing Director,Human Resources,4,0,1,1,0,1,5,23,3,3,3,3,8967,7,Male,Divorced,No,3,0
1049,25,Research & Development,Research Director,Technical Degree,2,0,0,0,0,0,3,19,3,3,4,4,4595,15,Female,Single,No,4,0
1050,52,Research & Development,Research Scientist,Other,3,15,6,0,1,0,1,20,3,3,4,2,6504,17,Female,Single,No,0,0
1051,31,Research & Development,Laboratory Technician,Human Resources,4,10,2,1,2,1,2,24,3,4,4,3,8106,3,Male,Single,No,5,0
1052,34,Research & Development,Laboratory Technician,Marketing,4,9,8,7,0,4,2,24,3,4,4,4,10462,16,Female,Single,No,7,1
1053,53,Sales,Sales Executive,Technical Degree,1,22,5,5,3,5,2,12,3,4,2,1,3618,2,Male,Married,No,1,0
1054,57,Research & Development,Research Scientist,Marketing,5,25,20,7,9,7,3,16,3,1,4,1,11382,7,Male,Married,No,0,1
1055,21,Research & Development,Healthcare Representative,Other,2,0,1,1,1,1,5,23,4,3,3,2,5971,25,Female,Married,Yes,8,1
1056,19,Research & Development,Manufacturing Director,Human Resources,1,0,1,0,1,0,3,13,3,1,1,3,2599,16,Male,Married,No,1,1
1057,23,Research & Development,Research Scientist,Medical,1,3,3,1,1,1,4,24,3,4,1,2,2841,21,Male,Divorced,No,7,0
1058,59,Sales,Manager,Human Resources,2,24,18,15,10,13,4,12,3,3,1,2,5123,9,Male,Married,No,4,0
1059,21,Research & Development,Laboratory Technician,Other,1,0,1,1,1,1,5,16,3,1,4,3,2960,12,Male,Married,Yes,1,1
1060,46,Research & Development,Research Director,Human Resources,1,11,1,0,1,0,0,14,3,4,1,3,3843,29,Male,Single,No,4,0
1061,35,Sales,Sales Executive,Human Resources,1,6,5,3,4,2,3,15,3,3,3,2,2909,24,Female,Single,No,8,0
1062,43,Sales,Manager,Life Sciences,3,18,9,7,8,3,4,15,3,3,3,2,10367,1,Male,Married,No,5,0
1063,51,Research & Development,Research Director,Human Resources,4,14,11,8,2,5,4,13,3,1,3,3,12960,14,Female,Married,No,2,0
1064,27,Sales,Sales Executive,Human Resources,1,3,3,3,2,2,5,22,3,3,4,4,2982,11,Female,Married,No,7,0
1065,53,Sales,Sales Executive,Marketing,4,11,6,0,0,0,4,14,3,4,4,3,12164,18,Male,Married,No,0,0
1066,31,Research & Development,Healthcare Representative,Medical,4,7,7,2,3,2,2,13,3,3,3,3,8124,22,Male,Married,No,8,0
1067,48,Sales,Manager,Marketing,3,23,9,4,4,2,3,17,4,4,3,3,7913,5,Male,Single,Yes,8,0
1068,32,Sales,Sales Executive,Marketing,1,8,7,5,6,5,0,25,3,1,3,2,2476,15,Female,Married,No,3,1
1069,25,Research & Development,Healthcare Representative,Technical Degree,3,3,0,0,0,0,3,11,3,3,4,3,5681,27,Male,Single,No,7,0
1070,31,Research & Development,Research Scientist,Life Sciences,5,3,3,1,1,0,3,25,3,4,2,4,10347,7,Female,Married,No,2,0
1071,40,Research & Development,Manager,Marketing,3,13,7,1,1,1,4,16,3,3,2,3,10087,25,Female,Divorced,No,5,0
1072,57,Sales,Sales Executive,Other,1,16,14,7,7,6,5,14,3,1,4,4,3063,14,Female,Single,Yes,9,0
1073,38,Human Resources,Human Resources,Other,2,15,9,5,7,4,4,11,3,3,3,4,7008,20,Female,Married,No,9,0
1074,33,Sales,Manager,Human Resources,2,9,2,1,2,1,3,11,3,3,4,1,5730,8,Female,Married,Yes,7,0
1075,35,Research & Development,Manufacturing Director,Technical Degree,2,13,13,3,13,2,2,15,3,4,2,1,5346,4,Male,Married,Yes,8,0
1076,41,Research & Development,Healthcare Representative,Life Sciences,1,12,10,6,9,5,5,24,3,4,4,2,3490,3,Female,Single,No,7,0
1077,43,Research & Development,Research Director,Life Sciences,1,19,17,6,8,4,2,15,3,4,1,3,3771,12,Male,Divorced,No,8,0
1078,42,Research & Development,Laboratory Technician,Human Resources,3,8,3,2,1,2,2,20,3,4,3,2,9883,18,Male,Single,No,3,0
1079,58,Research & Development,Research Scientist,Other,4,33,26,7,25,3,2,17,3,2,2,4,14150,24,Male,Married,No,9,1
1080,46,Sales,Sales Executive,Medical,1,7,0,0,0,0,3,23,3,3,4,1,2344,15,Male,Married,Yes,0,0
1081,32,Research & Development,Manager,Technical Degree,5,4,0,0,0,0,1,22,3,4,4,2,15937,11,Male,Single,No,6,0
1082,18,Sales,Manager,Human Resources,1,0,0,0,0,0,5,14,3,4,3,2,2809,24,Male,Single,No,9,1
1083,42,Research & Development,Healthcare Representative,Technical Degree,3,6,1,0,1,0,6,24,3,1,4,4,6217,11,Male,Single,No,3,0
1084,24,Research & Development,Research Scientist,Other,3,3,2,0,2,0,6,19,3,3,4,3,8391,12,Male,Married,Yes,0,0
1085,26,Research & Development,Manufacturing Director,Other,3,2,2,1,0,0,0,14,3,2,4,4,8215,19,Female,Single,No,2,0
1086,41,Research & Development,Laboratory Technician,Medical,5,21,7,5,7,4,5,17,4,2,4,4,11586,17,Male,Divorced,No,6,0
1087,18,Sales,Sales Representative,Medical,1,0,1,1,0,1,6,15,4,3,1,3,2862,29,Male,Single,No,2,1
1088,25,Research & Development,Manufacturing Director,Life Sciences,4,2,2,0,1,0,5,25,3,3,4,2,7803,6,Female,Divorced,Yes,0,0
1089,41,Sales,Sales Executive,Technical Degree,1,10,9,3,3,3,4,15,4,1,3,2,2931,21,Male,Divorced,No,6,1
1090,28,Research & Development,Healthcare Representative,Technical Degree,3,3,1,1,0,1,4,16,3,4,1,2,5610,8,Female,Married,No,7,0
1091,34,Sales,Manager,Other,3,6,6,3,2,2,1,18,3,4,2,3,9897,15,Female,Married,No,4,1
1092,25,Research & Development,Research Scientist,Life Sciences,3,2,0,0,0,0,5,25,4,4,4,1,8726,22,Male,Single,No,5,0
1093,52,Sales,Sales Executive,Human Resources,1,31,20,20,4,11,1,15,3,2,4,1,4564,20,Female,Divorced,Yes,2,0
1094,52,Sales,Sales Representative,Technical Degree,4,14,13,11,1,5,3,25,3,3,4,3,9850,26,Female,Married,No,4,0
1095,50,Research & Development,Research Director,Life Sciences,1,19,4,0,1,0,6,13,3,3,4,3,2912,10,Male,Divorced,No,2,0
1096,22,Research & Development,Research Director,Life Sciences,1,1,0,0,0,0,3,16,3,2,4,3,2923,28,Female,Married,Yes,1,0
1097,59,Sales,Manager,Other,3,15,6,5,3,3,1,24,3,3,1,3,6976,15,Female,Divorced,No,6,0
1098,56,Human Resources,Manager,Life Sciences,2,15,8,8,4,4,6,22,3,4,2,4,6965,12,Female,Married,No,9,1
1099,58,Research & Development,Research Scientist,Medical,4,36,26,14,0,7,6,24,3,1,1,3,14245,11,Female,Divorced,No,6,0
1100,45,Sales,Sales Executive,Medical,2,20,6,3,5,1,2,12,3,4,1,2,7135,18,Male,Single,No,7,0
1101,24,Sales,Sales Representative,Marketing,1,5,0,0,0,0,5,22,3,4,2,3,2397,24,Female,Married,No,0,0
1102,26,Sales,Manager,Other,4,3,1,0,1,0,3,22,4,4,3,4,9471,5,Female,Married,No,1,0
1103,25,Human Resources,Manager,Human Resources,2,2,2,2,1,1,3,18,3,4,4,1,5042,12,Female,Married,No,1,0
1104,29,Sales,Sales Representative,Marketing,1,7,5,2,4,2,2,18,3,3,4,3,3064,24,Male,Married,Yes,2,0
1105,51,Research & Development,Research Scientist,Medical,3,11,0,0,0,0,0,25,3,4,3,3,8926,5,Male,Married,No,6,0
1106,50,Research & Development,Healthcare Representative,Marketing,2,18,3,1,2,0,2,13,3,3,4,2,6675,22,Female,Single,No,6,0
1107,40,Research & Development,Research Director,Other,2,15,7,1,5,1,1,22,3,4,3,4,5835,29,Female,Married,Yes,6,0
1108,41,Sales,Manager,Other,2,13,6,4,2,2,5,18,3,2,4,2,6988,10,Female,Married,Yes,0,1
1109,54,Sales,Sales Executive,Life Sciences,4,11,2,1,0,1,4,19,3,2,3,3,8218,14,Female,Single,No,1,0
1110,52,Research & Development,Research Director,Technical Degree,4,10,9,2,5,2,5,15,4,3,2,3,10413,16,Male,Married,Yes,7,0
1111,57,Sales,Sales Representative,Life Sciences,3,13,2,1,0,1,4,15,3,2,4,3,9812,5,Female,Single,Yes,8,1
1112,39,Sales,Sales Executive,Other,1,10,10,0,3,0,1,16,3,3,3,2,2589,11,Male,Single,No,9,0
1113,44,Research & Development,Healthcare Representative,Medical,4,19,2,2,1,1,5,17,3,3,3,2,12652,19,Male,Married,No,6,1
1114,52,Research & Development,Laboratory Technician,Human Resources,3,18,16,9,1,7,5,13,3,4,2,1,9968,26,Male,Divorced,Yes,0,0
1115,18,Research & Development,Manufacturing Director,Medical,3,0,0,0,0,0,3,15,3,3,4,2,8175,8,Female,Married,No,3,0
1116,52,Research & Development,Healthcare Representative,Life Sciences,2,18,9,5,6,4,1,11,3,3,4,2,4742,19,Female,Divorced,No,9,1
1117,54,Research & Development,Manager,Human Resources,4,18,16,8,12,6,4,21,3,2,1,4,9561,20,Male,Married,No,7,0
1118,31,Research & Development,Healthcare Representative,Other,3,8,5,2,2,1,4,20,3,3,4,3,7497,22,Male,Divorced,No,4,0
1119,20,Research & Development,Healthcare Representative,Medical,1,0,1,0,0,0,5,15,3,3,1,3,2127,18,Female,Married,Yes,0,1
1120,18,Research & Development,Research Director,Other,2,0,1,0,0,0,1,14,3,4,3,3,6295,23,Male,Divorced,Yes,6,0
1121,22,Research & Development,Healthcare Representative,Human Resources,4,0,0,0,0,0,1,11,4,1,2,3,10849,21,Male,Married,No,5,0
1122,43,Research & Development,Manager,Human Resources,1,14,4,2,4,1,3,17,3,2,4,4,2900,12,Male,Married,Yes,8,0
1123,31,Sales,Sales Representative,Medical,5,8,3,3,1,2,3,25,3,3,1,2,16204,26,Female,Single,No,3,0
1124,56,Research & Development,Research Scientist,Other,3,26,20,20,7,11,0,11,3,3,3,4,9961,13,Female,Divorced,No,3,0
1125,44,Sales,Sales Executive,Marketing,2,22,22,20,2,17,3,23,3,3,2,3,6158,21,Male,Married,No,7,0
1126,26,Human Resources,Manager,Other,1,6,5,4,0,3,3,18,3,4,1,4,2785,21,Male,Divorced,No,3,0
1127,32,Research & Development,Manufacturing Director,Human Resources,1,7,3,3,0,3,4,24,3,2,4,3,2636,29,Male,Single,No,2,0
1128,32,Research & Development,Manufacturing Director,Other,5,8,8,6,1,4,3,20,3,3,2,3,16492,29,Male,Single,No,6,1
1129,43,Research & Development,Research Director,Life Sciences,1,7,5,4,1,3,3,22,3,3,2,2,3022,18,Male,Married,No,4,0
1130,59,Research & Development,Research Scientist,Marketing,3,16,16,6,5,6,4,12,4,2,2,1,10522,27,Female,Married,No,8,0
1131,30,Research & Development,Research Scientist,Technical Degree,2,6,0,0,0,0,6,20,3,4,3,3,4861,29,Female,Divorced,Yes,4,0
1132,49,Research & Development,Manager,Life Sciences,1,23,9,8,7,5,2,23,3,3,4,4,4646,15,Female,Married,Yes,8,1
1133,56,Research & Development,Manager,Technical Degree,1,22,6,4,6,4,2,22,3,3,1,3,3605,15,Female,Single,Yes,5,1
1134,49,Research & Development,Laboratory Technician,Medical,2,11,2,1,1,0,5,15,4,4,2,2,6939,12,Male,Married,Yes,5,0
1135,21,Research & Development,Research Director,Technical Degree,5,3,1,0,1,0,3,23,3,2,3,4,15615,26,Male,Married,No,5,0
1136,47,Sales,Manager,Other,2,8,5,3,4,1,4,16,3,4,2,3,5248,9,Female,Married,No,6,0
1137,54,Research & Development,Research Director,Technical Degree,2,18,5,3,2,1,3,19,3,3,4,2,7237,19,Male,Divorced,No,3,0
1138,40,Research & Development,Laboratory Technician,Human Resources,1,10,6,1,5,0,2,25,3,3,4,1,3410,12,Female,Single,No,3,0
1139,56,Research & Development,Manager,Life Sciences,2,21,4,1,4,1,4,24,3,4,3,2,7679,23,Male,Married,No,8,0
1140,32,Human Resources,Human Resources,Life Sciences,2,4,1,0,0,0,4,17,3,4,2,4,4681,5,Female,Married,Yes,6,0
1141,60,Research & Development,Research Director,Technical Degree,4,26,16,8,14,5,3,16,3,3,4,4,11808,26,Male,Single,No,9,0
1142,46,Research & Development,Manager,Life Sciences,2,14,12,8,9,7,1,15,3,4,4,2,6906,26,Male,Married,Yes,5,1
1143,53,Sales,Sales Representative,Human Resources,2,33,29,23,26,15,6,16,3,3,3,2,8086,21,Female,Married,No,0,0
1144,30,Research & Development,Manager,Life Sciences,1,9,8,7,0,7,3,25,3,3,4,3,2898,20,Male,Married,Yes,6,1
1145,49,Human Resources,Human Resources,Technical Degree,5,14,4,0,0,0,3,24,3,1,4,4,15593,10,Male,Married,No,5,0
1146,24,Sales,Sales Representative,Marketing,1,2,2,1,2,1,5,21,3,1,3,3,1964,22,Female,Single,No,3,0
1147,39,Sales,Sales Representative,Marketing,1,17,15,11,12,11,3,14,3,4,2,3,3641,7,Male,Divorced,No,7,1
1148,45,Sales,Manager,Medical,3,10,9,8,2,7,4,11,3,1,4,2,6977,23,Female,Married,Yes,6,0
1149,19,Human Resources,Human Resources,Life Sciences,2,0,1,1,0,1,6,25,4,2,2,3,4401,11,Male,Divorced,No,7,1
1150,59,Sales,Manager,Technical Degree,2,24,1,0,0,0,3,22,3,4,4,2,5966,28,Female,Married,No,8,0
1151,23,Sales,Manager,Life Sciences,2,3,0,0,0,0,3,19,4,1,4,4,4989,8,Male,Single,No,0,0
1152,45,Sales,Sales Representative,Other,3,18,17,16,4,14,5,21,4,2,4,3,8718,21,Male,Married,No,2,0
1153,45,Research & Development,Research Scientist,Human Resources,1,8,6,1,6,1,2,15,3,3,3,4,3178,7,Male,Divorced,No,1,0
1154,37,Research & Development,Healthcare Representative,Life Sciences,4,5,2,2,2,2,0,18,4,3,2,3,9296,16,Female,Divorced,No,2,1
1155,47,Research & Development,Manager,Life Sciences,2,13,8,1,5,1,5,17,3,4,1,4,4787,28,Male,Married,No,1,0
1156,28,Research & Development,Healthcare Representative,Marketing,2,6,0,0,0,0,4,18,3,3,4,2,6061,16,Male,Single,No,5,0
1157,45,Research & Development,Research Director,Human Resources,2,12,10,6,1,5,6,11,3,3,4,3,5439,14,Female,Married,Yes,8,0
1158,42,Research & Development,Manufacturing Director,Technical Degree,1,8,5,3,2,1,1,19,3,4,4,3,2918,15,Male,Married,Yes,1,0
1159,56,Research & Development,Research Scientist,Life Sciences,3,30,16,10,5,6,2,11,3,3,1,1,9837,20,Female,Divorced,Yes,3,0
1160,50,Sales,Sales Representative,Marketing,2,13,12,1,2,1,1,13,3,3,4,4,7141,9,Female,Single,Yes,4,0
1161,18,Sales,Sales Representative,Medical,1,0,1,1,1,1,4,18,3,4,4,3,2791,16,Male,Single,No,4,0
1162,44,Research & Development,Manager,Human Resources,2,21,4,0,4,0,3,22,3,3,3,3,4653,16,Male,Married,Yes,0,0
1163,30,Research & Development,Research Scientist,Marketing,5,6,3,2,0,1,3,21,3,3,3,4,15301,5,Male,Single,No,5,0
1164,58,Sales,Manager,Marketing,2,17,15,6,11,3,1,11,3,1,4,4,7456,3,Female,Divorced,No,4,0
1165,20,Research & Development,Healthcare Representative,Marketing,5,0,1,1,1,1,3,24,3,3,4,3,12307,21,Male,Married,No,5,0
1166,56,Sales,Manager,Life Sciences,1,26,21,12,18,9,3,11,4,1,4,4,4574,25,Male,Divorced,No,3,1
1167,23,Research & Development,Research Scientist,Life Sciences,1,2,1,0,1,0,1,16,3,3,1,1,2719,13,Male,Single,No,5,0
1168,25,Research & Development,Healthcare Representative,Medical,1,3,3,0,2,0,5,15,3,4,3,2,2673,29,Male,Married,No,8,1
1169,44,Human Resources,Manager,Other,2,21,15,3,12,3,2,21,4,3,4,3,5601,27,Male,Married,Yes,0,0
1170,26,Research & Development,Healthcare Representative,Other,1,7,5,3,4,3,4,16,3,2,4,3,3317,8,Male,Married,No,5,0
1171,54,Sales,Manager,Other,1,11,5,3,5,2,5,13,3,4,4,3,2832,17,Male,Married,Yes,0,0
1172,50,Sales,Sales Representative,Human Resources,4,12,1,1,0,0,3,20,3,2,4,2,8675,5,Male,Married,No,6,0
1173,59,Research & Development,Research Director,Human Resources,4,30,30,12,20,11,2,22,3,4,3,3,8771,6,Male,Divorced,No,3,0
1174,41,Sales,Sales Representative,Medical,3,9,6,1,4,1,3,20,4,3,4,4,7104,29,Male,Single,Yes,5,0
1175,32,Human Resources,Human Resources,Human Resources,1,4,3,3,2,1,5,16,3,2,3,3,2631,26,Male,Divorced,No,6,1
1176,49,Research & Development,Manager,Other,1,22,12,9,5,7,2,12,3,4,3,4,3804,29,Male,Divorced,Yes,4,0
1177,49,Sales,Sales Executive,Other,1,16,14,6,5,4,4,18,3,2,2,3,3250,27,Female,Married,No,8,0
1178,41,Research & Development,Laboratory Technician,Marketing,3,18,11,3,0,3,6,25,3,4,4,2,10590,2,Male,Married,No,7,0
1179,58,Research & Development,Research Director,Human Resources,5,27,8,5,8,3,6,22,3,1,4,2,12987,22,Female,Single,No,2,0
1180,29,Research & Development,Manager,Life Sciences,2,4,1,0,0,0,3,16,4,2,2,2,5092,14,Male,Married,No,0,0
1181,56,Research & Development,Research Director,Life Sciences,1,33,13,6,0,3,4,23,4,2,1,4,3272,25,Female,Married,No,9,0
1182,19,Sales,Sales Executive,Marketing,2,0,1,1,1,1,6,23,3,1,4,1,4330,4,Male,Married,No,7,0
1183,20,Sales,Sales Executive,Marketing,1,3,0,0,0,0,3,14,3,4,3,2,2051,3,Female,Married,No,3,0
1184,54,Research & Development,Laboratory Technician,Marketing,2,23,3,2,2,2,2,14,3,4,4,4,6480,9,Female,Divorced,No,6,0
1185,34,Sales,Manager,Life Sciences,2,6,5,3,5,2,1,24,3,4,2,3,5971,18,Male,Married,No,3,0
1186,19,Research & Development,Healthcare Representative,Other,3,0,1,1,0,1,1,21,3,2,1,2,6222,12,Male,Divorced,No,6,1
1187,19,Research & Development,Research Scientist,Marketing,1,1,1,1,0,1,5,17,3,3,3,2,2366,9,Female,Married,No,0,0
1188,45,Sales,Sales Representative,Medical,1,11,10,4,8,2,3,24,4,4,1,4,2778,27,Female,Divorced,Yes,0,0
1189,40,Research & Development,Healthcare Representative,Marketing,5,11,7,0,7,0,5,13,3,3,2,4,15555,26,Male,Married,No,1,0
1190,54,Research & Development,Manufacturing Director,Technical Degree,1,25,9,5,8,3,4,21,3,4,1,2,3945,27,Male,Married,No,4,1
1191,49,Sales,Sales Executive,Marketing,1,24,24,19,7,11,4,13,3,3,2,3,3015,27,Male,Single,No,9,0
1192,50,Research & Development,Healthcare Representative,Life Sciences,1,10,4,2,4,1,3,16,3,1,1,4,2750,18,Male,Single,Yes,5,0
1193,18,Research & Development,Research Director,Human Resources,1,0,0,0,0,0,0,19,3,4,4,3,3137,13,Male,Married,No,1,0
1194,36,Research & Development,Healthcare Representative,Marketing,2,5,0,0,0,0,5,11,3,4,2,4,4944,27,Male,Divorced,No,0,0
1195,19,Research & Development,Manufacturing Director,Human Resources,3,0,0,0,0,0,3,15,3,4,3,3,7610,14,Male,Married,No,8,0
1196,43,Sales,Sales Executive,Technical Degree,1,19,17,10,7,6,3,11,3,2,4,4,3409,10,Male,Single,No,6,0
1197,49,Research & Development,Manufacturing Director,Medical,2,19,9,6,0,6,0,11,3,2,4,2,6793,3,Female,Married,No,7,0
1198,23,Sales,Sales Executive,Human Resources,3,3,1,1,0,1,5,13,3,3,3,2,9676,29,Female,Married,Yes,5,0
1199,49,Research & Development,Research Scientist,Other,2,13,4,3,3,3,5,13,3,2,4,3,7211,7,Male,Married,Yes,8,0
1200,21,Research & Development,Research Director,Marketing,4,1,1,0,0,0,3,14,3,2,4,3,11614,18,Female,Divorced,Yes,7,0
1201,28,Research & Development,Manager,Technical Degree,4,4,0,0,0,0,3,13,3,4,4,4,9711,16,Male,Married,No,3,0
1202,34,Research & Development,Manufacturing Director,Technical Degree,1,6,3,3,2,1,4,16,4,3,3,1,2970,17,Male,Married,Yes,4,0
1203,55,Sales,Manager,Human Resources,3,28,3,3,1,2,2,22,3,3,4,4,8945,25,Female,Married,Yes,1,0
1204,41,Sales,Sales Executive,Medical,2,15,9,8,3,5,2,25,3,2,3,2,7268,6,Female,Divorced,Yes,0,0
1205,22,Research & Development,Research Scientist,Life Sciences,5,0,1,1,0,0,4,14,4,4,2,3,13954,25,Female,Married,No,5,0
1206,51,Research & Development,Research Director,Marketing,2,22,16,10,11,4,1,18,3,2,4,1,6801,12,Male,Married,No,2,0
1207,23,Research & Development,Laboratory Technician,Technical Degree,5,3,0,0,0,0,3,11,3,4,3,3,9304,19,Male,Married,No,3,0
1208,39,Research & Development,Laboratory Technician,Medical,3,10,2,0,2,0,3,18,3,4,4,3,8439,3,Female,Married,No,0,0
1209,28,Sales,Sales Executive,Other,1,3,0,0,0,0,3,21,3,4,1,3,3324,26,Male,Single,Yes,5,0
1210,33,Research & Development,Healthcare Representative,Technical Degree,2,5,3,1,0,1,2,11,4,4,3,2,5385,28,Male,Single,No,7,0
1211,50,Research & Development,Healthcare Representative,Medical,5,26,4,2,4,1,3,21,3,4,4,3,12498,3,Male,Single,Yes,9,0
