EmployeeID,Age,Department,JobRole,EducationField,JobLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,TrainingTimesLastYear,PercentSalaryHike,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,MonthlyIncome,DistanceFromHome,Gender,MaritalStatus,OverTime,NumCompaniesWorked,Attrition,PromotionGapRatio,RoleStagnationIndex,TrainingIntensity,ManagerStability,CareerCluster,PromotionGapScore,StagnationComposite,RetentionOpportunity
1025,29,Research & Development,Research Scientist,Technical Degree,2,12,10,7,1,3,3,19,3,3,4,4,5987,15,Male,Single,No,6,0,0.3,0.7,0.3,0.1,High-risk stagnation profiles,Medium,0.48,True
1026,39,Research & Development,Laboratory Technician,Marketing,5,13,10,1,3,1,0,23,4,2,4,3,13808,2,Male,Single,No,7,0,0.1,0.1,0.0,0.3,Fast-track performers,Medium,0.21000000000000002,True
1027,42,Research & Development,Research Scientist,Life Sciences,1,18,3,2,0,2,1,22,3,2,4,3,3499,25,Male,Single,No,4,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,High-risk stagnation profiles,High,0.6,True
1028,44,Research & Development,Manager,Human Resources,3,15,15,14,3,12,4,18,4,2,3,2,9870,17,Male,Married,No,4,0,0.8,0.9333333333333333,0.26666666666666666,0.2,High-risk stagnation profiles,High,0.7866666666666667,True
1029,59,Research & Development,Research Director,Other,3,20,0,0,0,0,3,16,3,3,4,3,10318,27,Female,Divorced,No,4,0,0.0,0.0,3.0,0.0,Fast-track performers,Low,0.0,False
1030,45,Sales,Sales Executive,Other,3,19,15,11,15,5,3,25,3,4,4,1,10337,24,Female,Single,No,1,0,0.3333333333333333,0.7333333333333333,0.2,1.0,Stable long-term contributors,High,0.6066666666666666,True
1031,33,Research & Development,Research Director,Life Sciences,5,10,2,2,2,2,2,18,3,1,3,2,16674,6,Male,Divorced,No,2,1,1.0,1.0,1.0,1.0,High-risk stagnation profiles,High,0.9,False
1032,32,Sales,Manager,Life Sciences,2,7,7,0,6,0,3,15,3,2,4,3,6092,28,Female,Married,No,7,0,0.0,0.0,0.42857142857142855,0.8571428571428571,Fast-track performers,Low,0.14285714285714285,False
1033,20,Research & Development,Research Scientist,Other,1,2,2,1,1,1,1,17,3,2,2,2,3286,1,Male,Married,No,5,0,0.5,0.5,0.5,0.5,High-risk stagnation profiles,Medium,0.5,True
1034,54,Sales,Sales Executive,Human Resources,3,29,25,13,11,6,3,18,3,4,4,1,10770,4,Male,Married,No,8,0,0.24,0.52,0.12,0.44,Stable long-term contributors,Medium,0.43600000000000005,True
1035,24,Human Resources,Human Resources,Marketing,3,1,1,1,0,1,3,17,3,3,3,4,8516,19,Male,Divorced,No,6,0,1.0,1.0,3.0,0.0,High-risk stagnation profiles,High,0.8,True
1036,38,Research & Development,Manufacturing Director,Other,2,6,6,3,1,3,3,24,3,3,3,2,4281,7,Male,Married,No,5,1,0.5,0.5,0.5,0.16666666666666666,High-risk stagnation profiles,Medium,0.4666666666666667,False
1037,26,Sales,Sales Executive,Life Sciences,1,1,0,0,0,0,6,14,4,1,1,1,1934,23,Male,Divorced,Yes,3,1,0.0,0.0,6.0,0.0,Fast-track performers,Low,0.0,False
1038,56,Research & Development,Manufacturing Director,Technical Degree,2,21,0,0,0,0,3,15,3,3,3,1,7547,22,Female,Divorced,No,6,0,0.0,0.0,3.0,0.0,Fast-track performers,Low,0.0,False
1039,35,Sales,Sales Representative,Medical,1,10,9,3,7,1,3,23,3,1,3,2,3138,14,Female,Single,No,3,1,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.7777777777777778,Stable long-term contributors,Medium,0.32222222222222224,False
1040,21,Research & Development,Healthcare Representative,Human Resources,2,0,1,0,1,0,3,24,3,3,4,2,5881,26,Female,Divorced,No,6,0,0.0,0.0,3.0,1.0,Fast-track performers,Low,0.1,False
1041,42,Sales,Sales Representative,Human Resources,2,18,8,5,5,2,2,20,3,1,4,3,5881,14,Male,Divorced,No,4,0,0.25,0.625,0.25,0.625,Stable long-term contributors,Medium,0.4875,False
1042,31,Research & Development,Manufacturing Director,Technical Degree,3,5,3,1,1,1,5,16,3,4,4,2,7422,10,Male,Single,No,1,0,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,Fast-track performers,Medium,0.3,True
1043,26,Research & Development,Research Director,Technical Degree,1,4,2,1,2,1,3,24,3,3,2,4,3063,28,Female,Divorced,No,6,0,0.5,0.5,1.5,1.0,High-risk stagnation profiles,Medium,0.5,True
1044,43,Sales,Manager,Life Sciences,2,9,5,0,0,0,2,24,3,4,4,2,6878,24,Male,Married,Yes,7,0,0.0,0.0,0.4,0.0,Fast-track performers,Low,0.06,False
1045,19,Research & Development,Research Scientist,Other,1,3,3,1,0,0,4,22,4,3,3,3,2185,7,Female,Divorced,No,9,0,0.0,0.3333333333333333,1.3333333333333333,0.0,Fast-track performers,Low,0.13333333333333333,False
1046,37,Research & Development,Manager,Marketing,1,13,9,8,2,8,0,21,3,3,4,3,3771,16,Female,Divorced,Yes,1,1,0.8888888888888888,0.8888888888888888,0.0,0.2222222222222222,High-risk stagnation profiles,High,0.8333333333333334,False
1047,45,Research & Development,Healthcare Representative,Human Resources,3,16,16,3,15,3,6,16,3,1,2,3,9832,4,Female,Divorced,Yes,5,0,0.1875,0.1875,0.375,0.9375,Fast-track performers,Medium,0.30625,False
1048,24,Research & Development,Manufacturing Director,Human Resources,4,0,1,1,0,1,5,23,3,3,3,3,8967,7,Male,Divorced,No,3,0,1.0,1.0,5.0,0.0,High-risk stagnation profiles,High,0.8,True
1049,25,Research & Development,Research Director,Technical Degree,2,0,0,0,0,0,3,19,3,3,4,4,4595,15,Female,Single,No,4,0,0.0,0.0,3.0,0.0,Fast-track performers,Low,0.0,False
1050,52,Research & Development,Research Scientist,Other,3,15,6,0,1,0,1,20,3,3,4,2,6504,17,Female,Single,No,0,0,0.0,0.0,0.16666666666666666,0.16666666666666666,Fast-track performers,Low,0.1,False
1051,31,Research & Development,Laboratory Technician,Human Resources,4,10,2,1,2,1,2,24,3,4,4,3,8106,3,Male,Single,No,5,0,0.5,0.5,1.0,1.0,High-risk stagnation profiles,Medium,0.5,True
1052,34,Research & Development,Laboratory Technician,Marketing,4,9,8,7,0,4,2,24,3,4,4,4,10462,16,Female,Single,No,7,1,0.5,0.875,0.25,0.0,High-risk stagnation profiles,High,0.625,False
1053,53,Sales,Sales Executive,Technical Degree,1,22,5,5,3,5,2,12,3,4,2,1,3618,2,Male,Married,No,1,0,1.0,1.0,0.4,0.6,Stable long-term contributors,High,0.9200000000000002,True
1054,57,Research & Development,Research Scientist,Marketing,5,25,20,7,9,7,3,16,3,1,4,1,11382,7,Male,Married,No,0,1,0.35,0.35,0.15,0.45,Fast-track performers,Medium,0.41,False
1055,21,Research & Development,Healthcare Representative,Other,2,0,1,1,1,1,5,23,4,3,3,2,5971,25,Female,Married,Yes,8,1,1.0,1.0,5.0,1.0,High-risk stagnation profiles,High,0.9,False
1056,19,Research & Development,Manufacturing Director,Human Resources,1,0,1,0,1,0,3,13,3,1,1,3,2599,16,Male,Married,No,1,1,0.0,0.0,3.0,1.0,Fast-track performers,Low,0.1,False
1057,23,Research & Development,Research Scientist,Medical,1,3,3,1,1,1,4,24,3,4,1,2,2841,21,Male,Divorced,No,7,0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,Fast-track performers,Medium,0.3,True
1058,59,Sales,Manager,Human Resources,2,24,18,15,10,13,4,12,3,3,1,2,5123,9,Male,Married,No,4,0,0.7222222222222222,0.8333333333333334,0.2222222222222222,0.5555555555555556,High-risk stagnation profiles,High,0.7555555555555555,True
1059,21,Research & Development,Laboratory Technician,Other,1,0,1,1,1,1,5,16,3,1,4,3,2960,12,Male,Married,Yes,1,1,1.0,1.0,5.0,1.0,High-risk stagnation profiles,High,0.9,False
1060,46,Research & Development,Research Director,Human Resources,1,11,1,0,1,0,0,14,3,4,1,3,3843,29,Male,Single,No,4,0,0.0,0.0,0.0,1.0,Fast-track performers,Medium,0.2,True
1061,35,Sales,Sales Executive,Human Resources,1,6,5,3,4,2,3,15,3,3,3,2,2909,24,Female,Single,No,8,0,0.4,0.6,0.6,0.8,Stable long-term contributors,Medium,0.52,True
1062,43,Sales,Manager,Life Sciences,3,18,9,7,8,3,4,15,3,3,3,2,10367,1,Male,Married,No,5,0,0.3333333333333333,0.7777777777777778,0.4444444444444444,0.8888888888888888,Stable long-term contributors,High,0.5888888888888889,True
1063,51,Research & Development,Research Director,Human Resources,4,14,11,8,2,5,4,13,3,1,3,3,12960,14,Female,Married,No,2,0,0.45454545454545453,0.7272727272727273,0.36363636363636365,0.18181818181818182,High-risk stagnation profiles,Medium,0.5545454545454546,False
1064,27,Sales,Sales Executive,Human Resources,1,3,3,3,2,2,5,22,3,3,4,4,2982,11,Female,Married,No,7,0,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,Stable long-term contributors,High,0.7333333333333334,True
1065,53,Sales,Sales Executive,Marketing,4,11,6,0,0,0,4,14,3,4,4,3,12164,18,Male,Married,No,0,0,0.0,0.0,0.6666666666666666,0.0,Stable long-term contributors,Low,0.03333333333333334,False
1066,31,Research & Development,Healthcare Representative,Medical,4,7,7,2,3,2,2,13,3,3,3,3,8124,22,Male,Married,No,8,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,Fast-track performers,Medium,0.34285714285714286,True
1067,48,Sales,Manager,Marketing,3,23,9,4,4,2,3,17,4,4,3,3,7913,5,Male,Single,Yes,8,0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.4444444444444444,Stable long-term contributors,Medium,0.3777777777777778,True
1068,32,Sales,Sales Executive,Marketing,1,8,7,5,6,5,0,25,3,1,3,2,2476,15,Female,Married,No,3,1,0.7142857142857143,0.7142857142857143,0.0,0.8571428571428571,Stable long-term contributors,High,0.7571428571428572,False
1069,25,Research & Development,Healthcare Representative,Technical Degree,3,3,0,0,0,0,3,11,3,3,4,3,5681,27,Male,Single,No,7,0,0.0,0.0,3.0,0.0,Fast-track performers,Low,0.0,False
1070,31,Research & Development,Research Scientist,Life Sciences,5,3,3,1,1,0,3,25,3,4,2,4,10347,7,Female,Married,No,2,0,0.0,0.3333333333333333,1.0,0.3333333333333333,Fast-track performers,Low,0.16666666666666666,False
1071,40,Research & Development,Manager,Marketing,3,13,7,1,1,1,4,16,3,3,2,3,10087,25,Female,Divorced,No,5,0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285,Fast-track performers,Low,0.17142857142857143,False
1072,57,Sales,Sales Executive,Other,1,16,14,7,7,6,5,14,3,1,4,4,3063,14,Female,Single,Yes,9,0,0.42857142857142855,0.5,0.35714285714285715,0.5,Stable long-term contributors,Medium,0.4857142857142857,False
1073,38,Human Resources,Human Resources,Other,2,15,9,5,7,4,4,11,3,3,3,4,7008,20,Female,Married,No,9,0,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.7777777777777778,High-risk stagnation profiles,Medium,0.5333333333333334,True
1074,33,Sales,Manager,Human Resources,2,9,2,1,2,1,3,11,3,3,4,1,5730,8,Female,Married,Yes,7,0,0.5,0.5,1.5,1.0,Stable long-term contributors,Medium,0.5,True
1075,35,Research & Development,Manufacturing Director,Technical Degree,2,13,13,3,13,2,2,15,3,4,2,1,5346,4,Male,Married,Yes,8,0,0.15384615384615385,0.23076923076923078,0.15384615384615385,1.0,Fast-track performers,Medium,0.3384615384615385,True
1076,41,Research & Development,Healthcare Representative,Life Sciences,1,12,10,6,9,5,5,24,3,4,4,2,3490,3,Female,Single,No,7,0,0.5,0.6,0.5,0.9,High-risk stagnation profiles,High,0.58,True
1077,43,Research & Development,Research Director,Life Sciences,1,19,17,6,8,4,2,15,3,4,1,3,3771,12,Male,Divorced,No,8,0,0.23529411764705882,0.35294117647058826,0.11764705882352941,0.47058823529411764,Fast-track performers,Medium,0.37058823529411766,True
1078,42,Research & Development,Laboratory Technician,Human Resources,3,8,3,2,1,2,2,20,3,4,3,2,9883,18,Male,Single,No,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,High-risk stagnation profiles,High,0.6,True
1079,58,Research & Development,Research Scientist,Other,4,33,26,7,25,3,2,17,3,2,2,4,14150,24,Male,Married,No,9,1,0.11538461538461539,0.2692307692307692,0.07692307692307693,0.9615384615384616,Fast-track performers,Medium,0.3423076923076923,False
1080,46,Sales,Sales Executive,Medical,1,7,0,0,0,0,3,23,3,3,4,1,2344,15,Male,Married,Yes,0,0,0.0,0.0,3.0,0.0,Fast-track performers,Low,0.0,False
1081,32,Research & Development,Manager,Technical Degree,5,4,0,0,0,0,1,22,3,4,4,2,15937,11,Male,Single,No,6,0,0.0,0.0,1.0,0.0,Fast-track performers,Low,0.0,False
1082,18,Sales,Manager,Human Resources,1,0,0,0,0,0,5,14,3,4,3,2,2809,24,Male,Single,No,9,1,0.0,0.0,5.0,0.0,Fast-track performers,Low,0.0,False
1083,42,Research & Development,Healthcare Representative,Technical Degree,3,6,1,0,1,0,6,24,3,1,4,4,6217,11,Male,Single,No,3,0,0.0,0.0,6.0,1.0,Fast-track performers,Low,0.1,False
1084,24,Research & Development,Research Scientist,Other,3,3,2,0,2,0,6,19,3,3,4,3,8391,12,Male,Married,Yes,0,0,0.0,0.0,3.0,1.0,Fast-track performers,Low,0.1,False
1085,26,Research & Development,Manufacturing Director,Other,3,2,2,1,0,0,0,14,3,2,4,4,8215,19,Female,Single,No,2,0,0.0,0.5,0.0,0.0,Fast-track performers,Medium,0.30000000000000004,True
1086,41,Research & Development,Laboratory Technician,Medical,5,21,7,5,7,4,5,17,4,2,4,4,11586,17,Male,Divorced,No,6,0,0.5714285714285714,0.7142857142857143,0.7142857142857143,1.0,High-risk stagnation profiles,High,0.6428571428571429,True
1087,18,Sales,Sales Representative,Medical,1,0,1,1,0,1,6,15,4,3,1,3,2862,29,Male,Single,No,2,1,1.0,1.0,6.0,0.0,Stable long-term contributors,High,0.8,False
1088,25,Research & Development,Manufacturing Director,Life Sciences,4,2,2,0,1,0,5,25,3,3,4,2,7803,6,Female,Divorced,Yes,0,0,0.0,0.0,2.5,0.5,Fast-track performers,Low,0.05,False
1089,41,Sales,Sales Executive,Technical Degree,1,10,9,3,3,3,4,15,4,1,3,2,2931,21,Male,Divorced,No,6,1,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.3333333333333333,Stable long-term contributors,Medium,0.35555555555555557,False
1090,28,Research & Development,Healthcare Representative,Technical Degree,3,3,1,1,0,1,4,16,3,4,1,2,5610,8,Female,Married,No,7,0,1.0,1.0,4.0,0.0,High-risk stagnation profiles,High,0.8,True
1091,34,Sales,Manager,Other,3,6,6,3,2,2,1,18,3,4,2,3,9897,15,Female,Married,No,4,1,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,Stable long-term contributors,Medium,0.45000000000000007,False
1092,25,Research & Development,Research Scientist,Life Sciences,3,2,0,0,0,0,5,25,4,4,4,1,8726,22,Male,Single,No,5,0,0.0,0.0,5.0,0.0,Fast-track performers,Low,0.0,False
1093,52,Sales,Sales Executive,Human Resources,1,31,20,20,4,11,1,15,3,2,4,1,4564,20,Female,Divorced,Yes,2,0,0.55,1.0,0.05,0.2,Stable long-term contributors,High,0.7350000000000001,True
1094,52,Sales,Sales Representative,Technical Degree,4,14,13,11,1,5,3,25,3,3,4,3,9850,26,Female,Married,No,4,0,0.38461538461538464,0.8461538461538461,0.23076923076923078,0.07692307692307693,Stable long-term contributors,High,0.5769230769230769,True
1095,50,Research & Development,Research Director,Life Sciences,1,19,4,0,1,0,6,13,3,3,4,3,2912,10,Male,Divorced,No,2,0,0.0,0.0,1.5,0.25,Fast-track performers,Low,0.025,False
1096,22,Research & Development,Research Director,Life Sciences,1,1,0,0,0,0,3,16,3,2,4,3,2923,28,Female,Married,Yes,1,0,0.0,0.0,3.0,0.0,Fast-track performers,Low,0.0,False
1097,59,Sales,Manager,Other,3,15,6,5,3,3,1,24,3,3,1,3,6976,15,Female,Divorced,No,6,0,0.5,0.8333333333333334,0.16666666666666666,0.5,Stable long-term contributors,High,0.6666666666666669,True
1098,56,Human Resources,Manager,Life Sciences,2,15,8,8,4,4,6,22,3,4,2,4,6965,12,Female,Married,No,9,1,0.5,1.0,0.75,0.5,High-risk stagnation profiles,High,0.6750000000000002,False
1100,45,Sales,Sales Executive,Medical,2,20,6,3,5,1,2,12,3,4,1,2,7135,18,Male,Single,No,7,0,0.16666666666666666,0.5,0.3333333333333333,0.8333333333333334,Stable long-term contributors,Medium,0.41666666666666674,True
1101,24,Sales,Sales Representative,Marketing,1,5,0,0,0,0,5,22,3,4,2,3,2397,24,Female,Married,No,0,0,0.0,0.0,5.0,0.0,Fast-track performers,Low,0.0,False
1102,26,Sales,Manager,Other,4,3,1,0,1,0,3,22,4,4,3,4,9471,5,Female,Married,No,1,0,0.0,0.0,3.0,1.0,Fast-track performers,Low,0.1,False
1103,25,Human Resources,Manager,Human Resources,2,2,2,2,1,1,3,18,3,4,4,1,5042,12,Female,Married,No,1,0,0.5,1.0,1.5,0.5,High-risk stagnation profiles,High,0.6500000000000001,True
1104,29,Sales,Sales Representative,Marketing,1,7,5,2,4,2,2,18,3,3,4,3,3064,24,Male,Married,Yes,2,0,0.4,0.4,0.4,0.8,Stable long-term contributors,Medium,0.4600000000000001,True
1105,51,Research & Development,Research Scientist,Medical,3,11,0,0,0,0,0,25,3,4,3,3,8926,5,Male,Married,No,6,0,0.0,0.0,0.0,0.0,Fast-track performers,Low,0.1,False
1106,50,Research & Development,Healthcare Representative,Marketing,2,18,3,1,2,0,2,13,3,3,4,2,6675,22,Female,Single,No,6,0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,Fast-track performers,Medium,0.23333333333333334,True
1107,40,Research & Development,Research Director,Other,2,15,7,1,5,1,1,22,3,4,3,4,5835,29,Female,Married,Yes,6,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7142857142857143,Fast-track performers,Medium,0.27142857142857146,True
1108,41,Sales,Manager,Other,2,13,6,4,2,2,5,18,3,2,4,2,6988,10,Female,Married,Yes,0,1,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.3333333333333333,Stable long-term contributors,Medium,0.45,False
1109,54,Sales,Sales Executive,Life Sciences,4,11,2,1,0,1,4,19,3,2,3,3,8218,14,Female,Single,No,1,0,0.5,0.5,2.0,0.0,Stable long-term contributors,Medium,0.4,True
1110,52,Research & Development,Research Director,Technical Degree,4,10,9,2,5,2,5,15,4,3,2,3,10413,16,Male,Married,Yes,7,0,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5555555555555556,Fast-track performers,Medium,0.2777777777777778,True
1111,57,Sales,Sales Representative,Life Sciences,3,13,2,1,0,1,4,15,3,2,4,3,9812,5,Female,Single,Yes,8,1,0.5,0.5,2.0,0.0,Stable long-term contributors,Medium,0.4,False
1112,39,Sales,Sales Executive,Other,1,10,10,0,3,0,1,16,3,3,3,2,2589,11,Male,Single,No,9,0,0.0,0.0,0.1,0.3,Stable long-term contributors,Low,0.12000000000000001,False
1113,44,Research & Development,Healthcare Representative,Medical,4,19,2,2,1,1,5,17,3,3,3,2,12652,19,Male,Married,No,6,1,0.5,1.0,2.5,0.5,High-risk stagnation profiles,High,0.6500000000000001,False
1114,52,Research & Development,Laboratory Technician,Human Resources,3,18,16,9,1,7,5,13,3,4,2,1,9968,26,Male,Divorced,Yes,0,0,0.4375,0.5625,0.3125,0.0625,High-risk stagnation profiles,Medium,0.475,True
1115,18,Research & Development,Manufacturing Director,Medical,3,0,0,0,0,0,3,15,3,3,4,2,8175,8,Female,Married,No,3,0,0.0,0.0,3.0,0.0,Fast-track performers,Low,0.0,False
1116,52,Research & Development,Healthcare Representative,Life Sciences,2,18,9,5,6,4,1,11,3,3,4,2,4742,19,Female,Divorced,No,9,1,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.6666666666666666,High-risk stagnation profiles,Medium,0.5555555555555556,False
1117,54,Research & Development,Manager,Human Resources,4,18,16,8,12,6,4,21,3,2,1,4,9561,20,Male,Married,No,7,0,0.375,0.5,0.25,0.75,Fast-track performers,Medium,0.5,True
1118,31,Research & Development,Healthcare Representative,Other,3,8,5,2,2,1,4,20,3,3,4,3,7497,22,Male,Divorced,No,4,0,0.2,0.4,0.8,0.4,Fast-track performers,Medium,0.30000000000000004,True
1119,20,Research & Development,Healthcare Representative,Medical,1,0,1,0,0,0,5,15,3,3,1,3,2127,18,Female,Married,Yes,0,1,0.0,0.0,5.0,0.0,Fast-track performers,Low,0.0,False
1120,18,Research & Development,Research Director,Other,2,0,1,0,0,0,1,14,3,4,3,3,6295,23,Male,Divorced,Yes,6,0,0.0,0.0,1.0,0.0,Fast-track performers,Low,0.0,False
1121,22,Research & Development,Healthcare Representative,Human Resources,4,0,0,0,0,0,1,11,4,1,2,3,10849,21,Male,Married,No,5,0,0.0,0.0,1.0,0.0,Fast-track performers,Low,0.0,False
1122,43,Research & Development,Manager,Human Resources,1,14,4,2,4,1,3,17,3,2,4,4,2900,12,Male,Married,Yes,8,0,0.25,0.5,0.75,1.0,Fast-track performers,Medium,0.42500000000000004,True
1123,31,Sales,Sales Representative,Medical,5,8,3,3,1,2,3,25,3,3,1,2,16204,26,Female,Single,No,3,0,0.6666666666666666,1.0,1.0,0.3333333333333333,Stable long-term contributors,High,0.7000000000000001,True
1124,56,Research & Development,Research Scientist,Other,3,26,20,20,7,11,0,11,3,3,3,4,9961,13,Female,Divorced,No,3,0,0.55,1.0,0.0,0.35,High-risk stagnation profiles,High,0.7550000000000001,True
1125,44,Sales,Sales Executive,Marketing,2,22,22,20,2,17,3,23,3,3,2,3,6158,21,Male,Married,No,7,0,0.7727272727272727,0.9090909090909091,0.13636363636363635,0.09090909090909091,Stable long-term contributors,High,0.7681818181818181,True
1126,26,Human Resources,Manager,Other,1,6,5,4,0,3,3,18,3,4,1,4,2785,21,Male,Divorced,No,3,0,0.6,0.8,0.6,0.0,High-risk stagnation profiles,High,0.6000000000000001,True
